"id","Regular","Mid","Premium","Diesel","Date"
"Nevada","$4.294","$4.554","$4.770","$4.260",2023-06-13
"Las_Vegas","$4.266","$4.540","$4.768","$4.338",2023-06-13
"Reno","$4.518","$4.742","$4.923","$4.229",2023-06-13
