"id","Regular","Mid","Premium","Diesel","Date"
"Nevada","$4.267","$4.522","$4.752","$4.228",2023-06-19
"Las_Vegas","$4.219","$4.487","$4.726","$4.307",2023-06-19
"Reno","$4.547","$4.773","$4.953","$4.183",2023-06-19
