"id","Regular","Mid","Premium","Diesel","Date"
"Nevada","$4.294","$4.557","$4.786","$4.399",2023-06-01
"Las_Vegas","$4.319","$4.598","$4.840","$4.517",2023-06-01
"Reno","$4.379","$4.609","$4.773","$4.265",2023-06-01
